attr,est,lo,hi,Country,focal
Origin,0.49999484280552664,0.38479315676369746,0.6249163263033517,South Korea,other
Ancestry,0.6888561707111901,0.557290247745289,0.8300002910714459,South Korea,Ancestry (ascriptive)
Residence,0.8393846966057685,0.6973904277160006,0.9887473074086013,South Korea,other
Language,1.0322963130140281,0.8677467883177596,1.1975734799391322,South Korea,other
Citizenship,1.1022027231286868,0.939095304896983,1.2865377109632303,South Korea,other
Tradition,1.1935774902309209,1.0338124624211018,1.368562731213581,South Korea,other
Political,1.2828458689080369,1.1050963275467323,1.4779156268823077,South Korea,other
Feeling,1.2734126716438399,1.1061604415983632,1.4568809842507702,South Korea,Feeling (voluntarist)
Origin,0.4984986045637498,0.41704092320392816,0.5801799558959027,Germany,other
Ancestry,0.4770073991526612,0.3958607201762252,0.5572149978545775,Germany,Ancestry (ascriptive)
Residence,0.47031072367633736,0.39234401214195047,0.5571723867154368,Germany,other
Language,1.112589404492876,1.006945754371496,1.2279110093550554,Germany,other
Citizenship,0.49410596267599355,0.41099013343210755,0.5747813874468058,Germany,other
Tradition,0.6584576289787032,0.5745527595808917,0.754879087944087,Germany,other
Political,1.2100436400267944,1.0999062472157086,1.324550788126547,Germany,other
Feeling,0.7070225787658617,0.6167304758094012,0.8026776389425039,Germany,Feeling (voluntarist)
Origin,1.1180520425749643,0.9512537670398611,1.3221984332939467,Taiwan,other
Ancestry,0.43147429875490756,0.3039361497470388,0.5694272543491748,Taiwan,Ancestry (ascriptive)
Residence,1.5525755018954546,1.346838412171719,1.8113855528364493,Taiwan,other
Language,1.093770858236659,0.9192420000888704,1.2976683263283104,Taiwan,other
Citizenship,1.3689418688367538,1.180193420249872,1.5910324612061226,Taiwan,other
Tradition,0.9537420857339276,0.7960751280272043,1.1301338790542452,Taiwan,other
Political,1.4113965302903495,1.2076362297840497,1.6481801407522307,Taiwan,other
Feeling,2.1457958522485643,1.8760318045373556,2.457557493166669,Taiwan,Feeling (voluntarist)
